super_opeid,name,region,state,fips,cz,czname,cfips,county,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,multi,hbcu,flagship,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000
1379,Connecticut College,Northeast,CT,Connecticut,20901,Bridgeport,9011,New London,6320,Other elite schools (public and private),Other elite schools (public and private),Private Non-profit,Four-year,Private,Elite,14290.219,18505.359,0,0,0,47740,,1.4605961,.83741647,9572.1191,62441.781,,1308,6586,.44876939,51000,,33860000,23437782,.025909591,.030871004,.027012128,.075523704,34.203808,2.1804676,0,2.9816513,0,17.635923,45.973911,0
3153,Connors State College,South,OK,Oklahoma,30200,Muskogee,40101,Muskogee,74469,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,1877.7115,2382.5181,0,0,0,3563,,1.1331323,.2542735,4428.1333,32137.313,,,7503,,29800,217.07329,5282099,3575995,.0025265284,.10914604,.015664477,0,-.74887794,15.054509,24.30279,1.5936255,3.1872511,19.389599,37.361202,.39840639
30344,Conservatory Of Recording Arts & Sciences,West,AZ,Arizona,35001,Phoenix,4013,Maricopa,85282,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,2337.8416,5479.6899,0,0,0,,,,,,,,,21830,,32600,,4034670,665760,.0088888891,.084444441,.10222222,0,98.39904,.13283768,0,0,0,-7.35008,-4.7202573,0
44,Contra Costa Community College District,West,CA,California,37800,San Francisco,6013,Contra Costa,94523,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2169.082,2522.2786,1,0,0,1298,,.54116786,.3787207,7837.0337,65592.25,,,8664.1543,,35554.609,76.906639,91096688,148467888,.16123503,.10952908,.13397142,.017455043,4.7775879,10.829145,12.99188,55.965023,2.8107433,7.493866,3.342216,7.4953156
3431,Converse College,South,SC,South Carolina,700,Spartanburg,45083,Spartanburg,29302,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,4596.7646,6925.314,0,0,0,16500,15840,-2.6149125,.49019608,6292.0186,50902.77,1039.4974,,16974,2.2432413,33400,,8556706,6548871.5,.012841091,.10112359,.020866774,0,30.125433,13.811836,2.4242425,0,0,10.873739,46.08189,0
2710,Cooper Union For The Advancement Of Science & Art ,Northeast,NY,New York,19400,New York,36061,New York,10003,Other elite schools (public and private),Other elite schools (public and private),Private Non-profit,Four-year,Private,Elite,13485.971,17810.602,0,0,0,41400,8800,-3.2948811,.62569833,11866.053,75946.445,1371.3668,,12772,3.2969487,53700,,17276940,11907844,.24031891,.042141229,.060364466,.086560361,35.606308,-.55600441,0,0,0,62.185463,-.22171628,0
2402,Copiah-Lincoln Community College,South,MS,Mississippi,3003,Jackson,28029,Copiah,39191,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,5756.8423,3981.8533,0,0,0,2455,1100,8.8811665,.29845423,4475.918,41506.188,,,3566,,25700,,14050060,9779597,.0031830238,.34323609,.0026525198,0,-2.8197589,16.290895,18.283583,47.014927,0,13.049124,1.3921434,15.11194
35424,Copper Mountain College,West,CA,California,38300,Los Angeles,6071,San Bernardino,92252,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,363.67322,3288.9839,0,0,0,1108,264,,,8488.1201,,,,8272,,26500,,,,.044659302,.069060773,.11832412,.0023020257,2.8362384,13.752522,4.1379309,49.655174,5.5172415,16.767572,7.6976299,1.3793104
1339,Corban University,West,OR,Oregon,38901,Eugene,41047,Marion,97317,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,2747.3879,5154.9321,0,0,0,28640,13690,1.3374139,.50943398,5460.707,31221.258,1015.1833,,19975,2.3713994,34200,,5357144,1731746.8,.010057472,.0086206896,.022988506,.011494253,-1.486969,39.798161,0,15.517241,9.7701149,4.0893869,31.763931,0
1856,Cornell College,Midwest,IA,Iowa,22200,Cedar Rapids,19113,Linn,52314,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,9300.8672,8901.1104,0,0,0,37500,19570,6.5783825,.54285717,6593.2461,52459.711,1184.2523,1130,11267,2.6699741,41900,,10800035,8733108,.010131712,.026342452,.018237082,.037487336,23.945343,.16055483,0,9,0,27.265802,36.986076,0
2711,Cornell University,Northeast,NY,New York,18100,Elmira,36109,Tompkins,14853,Ivy Plus,Ivy Plus,Private Non-profit,Four-year,Private,Elite,18030.73,21219.102,0,0,0,47286,24850,1.0592599,.87856072,13820.573,88464.43,1425.6713,1400,9149,.29352009,70900,,431432992,202429856,.19818637,.042357713,.058465578,.10141988,6.1440387,11.877878,1.5808262,4.3345232,0,49.220547,21.369715,0
2266,Cornerstone University,Midwest,MI,Michigan,12200,Grand Rapids,26081,Kent,49525,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,4030.5112,5262.8574,0,0,0,25112,11230,-.45219082,.36462092,5537.0464,38844.293,1059.3829,,15310,-.6096496,35600,,13911149,5176580.5,.0081658289,.04648241,.015075377,.010050251,13.161679,47.658123,.40816328,2.0408163,8.9795923,3.4781001,27.644283,0
2863,Corning Community College - SUNY Office Of Community Colleges,Northeast,NY,New York,18100,Elmira,36101,Steuben,14830,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2644.1306,3480.6826,0,0,0,4700,,.054937381,.2440678,5748.1816,44651.324,,,4717,,31000,274.09027,18158576,13018324,.0069670225,.023920111,.0058058524,0,-3.241291,19.138697,4.8143053,41.953232,14.305365,18.820545,-2.5586603,2.6134801
12315,Cornish College Of The Arts,West,WA,Washington,39400,Seattle,53033,King,98121,Nonselective four-year private not-for-profit,Nonselective four-year private not-for-profit,Private Non-profit,Four-year,Private,Non-selective,7638.1641,14870.225,0,0,0,35800,15100,-1.5590632,.4453125,6171.1445,25887,,,31163,1.2890024,29900,,11742771,5175331,.034700315,.023659306,.034700315,.10094637,105.46928,-1.1707449,0,0,0,.71005297,.78089339,0
22209,Cossatot Community College Of The University Of Arkansas,South,AR,Arkansas,34002,Idabel,5133,Sevier,71832,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,4604.6997,3296.6958,0,0,0,2647,1274,1.3025398,.25581396,4809.1333,31504.699,,,4760,,21000,98.849663,5540617,3862403,.0036809817,.098159507,.04417178,0,1.3648632,38.498047,15.841584,19.801981,0,4.4785666,2.2961235,24.752476
7729,County College Of Morris,Northeast,NJ,New Jersey,19600,Newark,34027,Morris,7869,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2274.9189,3317.2236,0,0,0,7870,4320,.52043498,.20906995,7608.9712,65856.672,,,4576,,40200,103.02995,29162774,18557140,.058466978,.034726609,.089784063,.031317085,2.8769522,28.048498,9.7165995,41.700405,6.3765182,13.049287,6.2517447,.80971658
3484,Covenant College,South,GA,Georgia,6401,Chattanooga,13083,Dade,30750,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,4458.9536,7087.3579,0,0,0,30160,16000,.89606655,.64077669,6835.708,52557.324,1164.2097,1172.5,15101,-.19285992,39800,,7738860,5405363,.010242086,.032588456,.027001861,.019553073,6.199986,51.053585,0,6.2305298,4.0498443,4.7950048,26.230049,0
1902,Cowley County Community College & Area Vocational Technical Schoo,Midwest,KS,Kansas,29303,Winfield,20035,Cowley,67005,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,1486.4751,1993.8102,0,0,0,2790,1395,1.7481375,.40045249,5546.0513,41492.512,,,8409,,30900,574.92645,8046910,6271606,.030105369,.036628198,.028349223,.0027596587,6.1846094,10.572176,2.9520295,10.885609,5.9040594,18.19157,16.233326,17.896679
7549,Coyne College,Midwest,IL,Illinois,24300,Chicago,17031,Cook,60607,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,5294.9111,4613.3657,0,0,0,,,5.9225211,,4359.0952,,,,19822,,36400,,3832968,2821652,.012121212,.35151514,.41818181,0,-1.1206354,-7.2978768,0,0,0,6.2623944,-.59190142,94.780792
6799,Craven Community College,South,NC,North Carolina,1900,Jacksonville,37049,Craven,28562,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2519.8027,3344.679,0,0,0,1847,688,-1.891764,.13875598,5578.3179,38041.105,,,4543,,29100,503.88943,11568060,6190862,.013131715,.24791086,.041782729,.0011937923,-1.9053521,26.643021,20.132744,31.858408,13.053098,1.3510854,.62656152,7.5221238
2542,Creighton University,Midwest,NE,Nebraska,28202,Omaha,31055,Douglas,68178,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,7938.3076,13949.354,0,0,0,35360,14910,2.8677192,.71033657,9081.7432,59669.836,1183.4587,,20492,-4.2174573,57800,,125937744,61218336,.097476758,.032934926,.035325367,.042231075,8.0142145,16.556396,25.754061,3.4802785,2.0881672,22.282618,19.411987,0
25964,Crimson Technical College,West,CA,California,38300,Los Angeles,6037,Los Angeles,90301,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,,6490.7739,0,0,0,,,.88494658,.64879358,,,,,20230,,41700,,2716053,1989084,.17433414,.20338982,.36319613,.0024213076,-.46160132,6.0847006,0,0,0,1.8278434,-.46674633,100
2459,Crowder College,Midwest,MO,Missouri,29901,Joplin,29145,Newton,64850,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2945.5415,3315.1685,0,0,0,3048,2100,5.2732716,.43968871,5093.1787,32320.727,,,4456,,26500,237.89282,11133779,6037038,.0052356021,.0069808029,.020942409,.013379872,.23179652,5.0321045,8.8709679,26.881721,1.0752689,9.3734789,8.1600542,36.290321
2383,Crown College,Midwest,MN,Minnesota,21501,Minneapolis,27019,Carver,55375,Nonselective four-year private not-for-profit,Nonselective four-year private not-for-profit,Private Non-profit,Four-year,Private,Missing,3311.7388,2505.0383,0,0,0,23180,10570,.95674521,.51648355,4582.2202,22043.621,965.8822,1050,18210,2.9529867,31600,,3319780,2974204.5,.024943311,.019274376,.011337869,.0011337869,2.9667373,24.455061,0,6.7073174,23.170732,21.779974,27.547556,0
1192,Cuesta College,West,CA,California,38200,Santa Barbara,6079,San Luis Obispo,93403,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,1895.2498,2756.6282,0,0,0,1234,340,3.899575,.35448277,7169.0039,60567.117,,,9788,,32900,,29600284,17164480,.041280538,.015269587,.11699663,.0057919123,-.57330471,5.9348173,27.310574,57.368858,.66611159,.95085049,4.5694604,2.9975019
7304,Culinary Institute Of America,Northeast,NY,New York,19300,Poughkeepsie,36027,Dutchess,12538,Nonselective four-year private not-for-profit,Nonselective four-year private not-for-profit,Private Non-profit,Four-year,Private,Missing,14153.162,18713.84,0,0,0,28240,15785,,1,7690.3042,49447.813,,,27253,-.31808296,41600,,50254856,29967686,.032544378,.026134122,.036982249,.043392505,1.1514351,8.8863668,0,0,0,-4.0948009,3.9396667,93.127151
2460,Culver-Stockton College,Midwest,MO,Missouri,25000,Quincy,29111,Lewis,63435,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,3509.4978,5634.8384,0,0,0,24050,10650,-1.2071123,.43478259,5607.1597,40465.762,961.23376,,12948,-2.5934324,36100,,4193883,2522893.8,.0036540804,.035322778,.018270401,.014616322,11.157436,20.9613,10.752688,1.6129032,5.9139786,8.6866951,40.378456,0
2601,Cumberland County College,Northeast,NJ,New Jersey,19700,Philadelphia,34011,Cumberland,8362,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2025.5729,2980.2017,0,0,0,4590,4620,.26741761,.18361582,6753.8623,50124.574,,,7415,,31600,773.28296,11484651,5830370,.011700183,.16234003,.14076783,.036197439,.68335825,15.884852,14.0625,50,10.3125,3.8155997,9.1005459,1.875
3485,Cumberland University,South,TN,Tennessee,5600,Nashville,47189,Wilson,37087,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,2871.9802,5865.7319,0,0,0,20200,10530,-1.4875779,.41558442,5869.9839,34534.105,970.27185,,14833,.16998601,35000,,7668285,4535365,.0032085562,.1026738,.018181818,.0042780749,2.9824421,24.997839,12.865497,4.0935674,8.1871347,3.8881352,41.397251,0
2143,Curry College,Northeast,MA,Massachusetts,20500,Boston,25021,Norfolk,2186,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,3719.5298,8278.0361,0,0,0,35415,17705,.55805027,.46289754,8319.8389,52839.199,951.26019,956.5,25775,-1.7651416,43600,,24402070,9504391,.010369702,.051848512,.029756537,.0090171322,-6.5693865,12.465261,19.427402,.20449898,39.263805,1.0991967,18.000359,0
3040,Cuyahoga Community College,Midwest,OH,Ohio,15200,Cleveland,39035,Cuyahoga,44115,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2600.5767,3452.7227,0,0,0,3953,2326,2.1091173,.064589664,8059.2183,56897.188,,,5550,,27600,,98792784,52994508,.02003279,.27851215,.027513064,.028845169,-3.0474553,12.065221,31.778057,37.263557,5.2963428,10.029191,3.0451186,.56746531
5594,D G Erwin Technical Center,South,FL,Florida,6700,Tampa,12057,Hillsborough,33610,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,5352.6675,6072.9448,0,0,0,2602,1650,.59050643,.43289226,,,,,14349,,26000,,5945788,5952701,.021101993,.28487691,.1641266,.023446659,-.52406895,29.89679,39.0681,0,0,7.6039605,-1.8028805,22.700119
2712,D'Youville College,Northeast,NY,New York,18000,Buffalo,36029,Erie,14201,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,4161.6484,7430.5347,0,0,0,23562,11755,-2.9079034,.45512819,6068.041,45425.496,1017.1894,940,11575,-1.4581687,48300,,22109872,8860155,.022540983,.10245901,.034836065,.14959016,4.1024799,5.484376,79.166664,0,2.7777777,-2.5332553,5.6954908,0
4996,Dabney S Lancaster Community College,South,VA,Virginia,17300,Staunton,51005,Alleghany,24422,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2455.0483,2712.2734,0,0,0,3324,1180,-1.4268306,.29523811,6267.2275,43641.137,,,2326,,27500,,5276464,3102690,.0055058501,.041982107,.0061940812,0,1.3437533,28.2185,35.403728,18.012423,3.7267082,11.301398,-1.0998648,0
2808,Daemen College,Northeast,NY,New York,18000,Buffalo,36029,Erie,14226,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,4853.5654,6044.3076,0,0,0,24990,12920,-1.7824831,.36559141,5950.8789,46335.547,,970,10515,3.0687518,42900,,17421288,7365802.5,.029359953,.11450382,.0093951849,.062830299,4.5858088,4.3256721,71.180557,2.4305556,.69444442,.67708564,15.334682,0
2995,Dakota College At Bottineau,Midwest,ND,North Dakota,26304,Minot,38009,Bottineau,58318,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2961.2815,2543.2813,0,0,0,4098,1958,,,4435.0923,,,,7401,,31800,,,,.0022222223,.011111111,.0066666668,.039999999,-1.9174041,24.532997,8.522727,43.181816,0,23.473663,1.3054469,0
3461,Dakota Wesleyan University,Midwest,SD,South Dakota,27006,Mitchell,46035,Davison,57301,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,3356.937,4795.1636,0,0,0,23650,10611,.91859645,.49193549,5454.0288,35313.57,1035.4639,,12626,.82329273,34100,,3825313,2061298.5,.0073964498,.039940827,.01923077,.013313609,.66122174,15.934493,21.582733,9.3525181,16.546762,2.4480517,28.228216,0
3560,Dallas Baptist University,South,TX,Texas,33100,Dallas,48113,Dallas,75211,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,2913.5786,5453.1479,0,0,0,23650,9150,-4.0109172,.4064171,7605.2339,48242.762,1107.7075,995,17806,-3.4988141,42200,,27823112,11006324,.01661442,.20564264,.068652041,.05172414,-3.1891918,44.88232,.61068702,22.748091,7.480916,3.3220034,10.825051,.15267175
31,Dallas County Community College District,South,TX,Texas,33100,Dallas,48113,Dallas,75243,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2135.0273,1945.4194,1,0,0,3015,1300,2.5215888,.06781929,6785.5317,54755.48,,,6465.6743,,33483.645,,23875832,16650654,.084522046,.20915458,.17967841,.040406432,5.1045675,36.751774,12.458776,37.669476,3.1513376,10.480641,-2.4341836,6.9622574
3956,Dalton State College,South,GA,Georgia,6600,Rome,13313,Whitfield,30720,Nonselective four-year public,Nonselective four-year public,Public,Four-year,Public,Missing,3177.7585,3136.9121,0,0,0,3355,1456,5.4984283,,5155.5645,48547.93,,,4611,,30400,2815.4209,16450522,10442836,.011475933,.024226969,.024864521,.0089257248,.2371249,18.332317,22.413794,46.551723,0,8.8074694,-4.6463909,4.0229883
4731,Daniel Webster College,Northeast,NH,New Hampshire,20600,Manchester,33011,Hillsborough,3063,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Selective,4666.3911,18304.244,0,0,0,15630,16570,4.9491282,.44,5070.8394,41968.305,,1060,21709,.17718346,51900,,13732892,5705408.5,.015468608,.024567788,.015468608,.016378526,5.4900007,57.0177,0,6.6390042,0,18.336361,.79564446,21.576763
1669,Danville Area Community College,Midwest,IL,Illinois,14500,Lafayette,17183,Vermilion,61832,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,1830.1954,1885.0759,0,0,0,6375,6755,-1.8383195,.28960395,5600.5107,41547.605,,,6475,,24700,,7819732,4932604.5,.0079840319,.095009983,.026746508,.00039920158,-3.8658252,37.685787,8.0691643,40.057636,2.0172911,7.204495,-.88918358,5.1873198
3758,Danville Community College,South,VA,Virginia,500,Greensboro,51590,Danville City,24541,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,1902.3541,2943.1277,0,0,0,4485,1171,-2.8606088,.23152709,6280.7231,45307.922,,,5399,,27700,,12880472,6914993,.0070343274,.30669668,.0014068655,.0014068655,-.5819031,23.426182,37.644341,13.394919,4.1570439,16.960381,-4.735868,3.6951501
2573,Dartmouth College,Northeast,NH,New Hampshire,20302,Claremont,33009,Grafton,3755,Ivy Plus,Ivy Plus,Private Non-profit,Four-year,Private,Elite,22656.777,21772.27,0,0,0,48108,25653,1.2891117,.94587153,13139.123,88191.75,1454.7339,1425,9858,.23467429,67100,,128482728,120798056,.10081341,.054966725,.055952676,.04338181,23.711224,1.4838823,0,3.8789027,0,27.238829,41.392376,0
1543,Darton State College,South,GA,Georgia,10200,Albany,13095,Dougherty,31707,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3049.3821,2544.7349,0,0,0,3502,1480,1.0630052,.15116279,4603.126,42407.426,,860,6281,,31700,,16292981,9085721,.0099821743,.33368984,.0114082,.0089126555,3.3306603,7.9249582,44.350281,42.090397,1.4124293,-.50477862,-1.3888028,1.6949153
2249,Davenport University,Midwest,MI,Michigan,12200,Grand Rapids,26081,Kent,49512,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,6516.6812,2743.4924,0,0,0,15072,,-.21105148,.24166666,6093.8296,53126.184,,,17354,2.3133345,29900,,31014912,13809000,.02840657,.07412339,.049711496,.027075011,-4.3943353,90.761513,6.521739,0,2.6570048,1.2489752,-.21511391,0
2918,Davidson College,South,NC,North Carolina,900,Charlotte,37119,Mecklenburg,28035,Other elite schools (public and private),Other elite schools (public and private),Private Non-profit,Four-year,Private,Elite,10734.827,17951.84,0,0,0,45377,23094,.45153302,.90432799,11715.728,65978.531,1335.6896,1322.5,9479,-2.2224224,58500,,31128416,18244798,.024419297,.054198928,.020250149,.035735559,30.711853,-.91093886,0,3.6764705,0,22.343889,44.674892,0
2919,Davidson County Community College,South,NC,North Carolina,500,Greensboro,37057,Davidson,27360,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3712.3235,4214.3613,0,0,0,2127,911,-.74405545,.26956522,5230.5835,39234.445,,,6873,,24400,2762.333,16478425,8528256,.017402377,.13285229,.01188455,0,-3.0700843,22.91847,36.853931,8.3146067,11.685393,7.6237445,-1.2182385,11.011236
3811,Davis & Elkins College,South,WV,West Virginia,16701,Elkins,54083,Randolph,26241,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,6099.4189,7671.5581,0,0,0,27492,13024,-3.7033155,.48076922,5455.9805,36369.934,974.61615,938,15189,2.1227136,35900,,5712855,3698258,.031437125,.029940119,.011976048,.0029940121,7.7595482,21.13695,17.142857,10.476191,0,14.74596,25.722153,0
21566,Davis Applied Technology College,West,UT,Utah,36100,Salt Lake City,49011,Davis,84037,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,5081.6968,1718.3636,0,0,0,,,-.57629967,.58333331,,39473.773,,,116,,26400,,7531695,5133951,.027777778,.015432099,.040123455,0,-2.6734262,28.822313,44.559586,0,0,-.44271797,2.4804118,26.683939
2529,Dawson Community College,West,MT,Montana,26409,Glendive,30021,Dawson,59330,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2840.8882,6773.8486,0,0,0,4696,1884,.6777761,.38848922,4726.3047,35297.617,,,5891,,30800,,2187304,1654147,.0044543431,.011135858,.017817372,.0044543431,1.1159259,6.1146688,0,50,12.307693,22.669834,4.0861006,0
9313,Daymar College,South,KY,Kentucky,13101,Louisville,21111,Jefferson,40219,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Missing,1943.8667,4592.8574,0,0,0,17000,6042.4839,-3.5734272,.34177214,3552.3066,,,,23569.059,,22100,,1146592.5,672369,.0032467532,.13961039,0,0,-1.6720464,40.650421,.96153843,0,25,10.335345,-2.2632065,27.884615
4934,Daymar Institute,South,TN,Tennessee,5900,Clarksville,47125,Montgomery,37040,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Missing,3479.4006,4282.4082,0,0,0,17000,5365,,.7037037,3500.6133,18703.965,,,24019.77,,22500,,6720546,677563,.0041899444,.20391062,.027932962,.067039102,1.7597388,28.092525,38.785046,0,16.355141,17.489252,1.1399076,0
41173,Dayton School Of Medical Massage,Midwest,OH,Ohio,12501,Dayton,39113,Montgomery,45429,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,,2590.0496,0,0,0,15400,,,,,,,,21908,,,,1188404,,,,,,,,,,,,,
1475,Daytona State College,South,FL,Florida,7500,Deltona,12127,Volusia,32114,Nonselective four-year public,Nonselective four-year public,Public,Four-year,Public,Missing,2707.447,3178.8723,0,0,0,3306,1417,,.27388111,6458.6743,42151.367,,,5999,,27000,,51323588,30642774,.015738964,.10287908,.048368521,.023608446,.20589362,5.1358776,30.908066,44.726452,6.3733783,6.4032974,-2.6097844,5.7529612
1792,DePauw University,Midwest,IN,Indiana,14400,Terre Haute,18133,Putnam,46135,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,10573.747,15598.359,0,0,0,42746,20550,.28465888,.76736671,8902.417,61712.5,1195.9882,1190,19227,.99678385,47800,,35586128,21414674,.013045434,.060728744,.022941971,.013045434,26.538128,-1.9420129,.19762845,5.13834,0,20.408857,52.359192,0
3986,DeSales University,Northeast,PA,Pennsylvania,19000,Allentown,42077,Lehigh,18034,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,3968.6462,6506.2246,0,0,0,32350,14790,1.0680883,.57446808,6518.6914,46430.961,1020.1135,1080,20017,-7.4857349,48300,,19671796,10131515,.0096308189,.011235955,.016051365,.00053504546,12.402412,30.067127,5.5016179,7.119741,12.621359,12.167997,14.072734,0
2144,Dean College,Northeast,MA,Massachusetts,20500,Boston,25021,Norfolk,2038,Nonselective four-year private not-for-profit,Nonselective four-year private not-for-profit,Private Non-profit,Four-year,Private,Missing,3433.4485,5272.8804,0,0,0,34390,16270,.66219264,,6099.4131,40480.77,862.09039,935,20623,.75837648,32700,,6777324,4110261,.010152284,.055837564,.0275562,.056562725,8.7193003,24.087271,0,34.389141,15.384615,9.4089289,22.420277,0
3041,Defiance College,Midwest,OH,Ohio,13502,Defiance,39039,Defiance,43512,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,3264.2961,5682.3999,0,0,0,29916,15050,2.9401515,.48666668,5810.3198,40649.137,920.61182,1010,19982,-1.0809351,37000,,5602682,3256375.5,.0057603689,.048387095,.031105991,.0034562212,1.6911522,30.492683,0,6.6265063,10.843374,12.003749,32.076767,0
3563,Del Mar College,South,TX,Texas,31700,Corpus Christi,48355,Nueces,78404,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2487.6953,3366.083,0,0,0,3846,1058,-1.2432846,.078828827,6249.9707,46662.043,,,4380,,29100,,37411932,26357144,.012479872,.02002818,.5286836,.016203703,7.6521144,22.376366,32.874355,9.1222029,12.564545,2.8739929,8.2823143,9.2943201
7110,Delaware County Community College,Northeast,PA,Pennsylvania,19700,Philadelphia,42045,Delaware,19063,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2441.7727,3282.5183,0,0,0,8110,4215,-.92941308,.12687969,8195.6045,64511.969,,,8265,,35500,59.768719,35668888,22442680,.029073019,.11729845,.010511015,.020686571,1.5642718,17.540165,21.966019,23.786407,16.747572,11.535375,8.2680855,1.8203883
1428,Delaware State University,South,DE,Delaware,19901,Dover,10001,Kent,19901,Selective public,Selective public,Public,Four-year,Public,Selective,6745.4673,9551.4229,0,1,0,7336,3470,-.55743468,.2959559,7478.6289,55496.258,895.93158,,12481,-2.9512255,34200,4311.7915,38949568,21451104,.0077057793,.77723294,.018563922,.017513135,-1.1267394,20.178152,8.557457,.48899755,7.8239608,14.098765,42.496414,1.4669926
7053,Delaware Technical Community College - Owens Campus,South,DE,Delaware,19901,Dover,10005,Sussex,19947,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2625.4832,4285.7637,0,0,0,3530,1676,.28977865,.1875,6781.5703,52002.676,,,3634,,28800,,19177908,9630830,.0130852,.14888048,.031986043,.012212853,-7.2200723,31.237309,27.634962,0,3.2133677,20.650589,16.20941,3.5989716
11727,"Delaware Technical Community College of Dover, DE",South,DE,Delaware,19901,Dover,10001,Kent,19901,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3393.4307,4955.4922,0,0,0,3530,1676,-1.6190699,.17088607,6656.7915,51568.348,,,3495,,29000,,15239165,6788216,.024004085,.2083759,.03115424,.01174668,-.90312296,27.433962,20.46332,0,5.7915058,32.023952,14.429446,.38610038
21449,"Delaware Technical Community College of Wilmington, DE",South,DE,Delaware,19800,Wilmington,10003,New Castle,19801,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2869.0349,4694.106,0,0,0,3530,1683,.58094054,.11734694,6676.5327,52775.484,,,3871,,33500,,33964112,21407080,.033826638,.22244035,.041075204,.017366355,-2.7604496,17.998785,32.062393,1.3864818,9.5320625,23.330399,15.479879,3.6395149
