super_opeid,name,region,state,fips,cz,czname,cfips,county,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,multi,hbcu,flagship,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000
1828,Indiana University - Purdue University - Ft Wayne,Midwest,IN,Indiana,14100,Fort Wayne,18003,Allen,46805,Selective public,Selective public,Public,Four-year,Public,Selective,3160.3364,3866.8281,0,0,0,7949,3683,1.8882829,.20097561,7349.3247,49538.141,992.30487,968,14323,.63956326,35900,1435.3386,59247080,34311464,.011358985,.044617273,.020875972,.030495293,8.5399189,22.48431,13.511451,10.992367,4.5801525,23.116087,16.971687,1.0687023
3277,Indiana University Of Pennsylvania,Northeast,PA,Pennsylvania,16300,Pittsburgh,42063,Indiana,15705,Selective public,Selective public,Public,Four-year,Public,Selective,5282.583,7111.7622,0,0,0,9470,4617,-.78428453,.49079755,9092.4883,68037.258,962.52954,990,14707,8.0822182,38000,2056.6226,106133432,77419552,.0082658716,.060502771,.0074989349,.018321261,7.4233041,15.273884,4.6332045,2.6544402,0,8.192667,46.630398,0
95,Indiana University System,Midwest,IN,Indiana,14600,Bloomington,18105,Monroe,47405,Selective public,Selective public,Public,Four-year,Public,Selective,6032.8877,10134.245,1,0,0,8874.5742,3935.3718,.71978241,.42984492,7901.7583,64584.379,1051.3441,1014.3737,6991.2729,-3.7145152,39941.473,1641.3129,319665696,179818288,.022026852,.072448462,.021091787,.024294088,8.0815353,23.878813,11.535615,13.256245,6.854764,12.230891,25.278374,.29602221
1822,Indiana Wesleyan University,Midwest,IN,Indiana,14000,Muncie,18053,Grant,46953,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,2432.2534,3332.8623,0,0,0,24102,12250,3.7646706,.57783639,6854.1196,43124.977,1061.3831,1220.5,27683,-5.3673062,46000,,56373276,17301650,.0059386971,.10421456,.0099616861,.0099616861,.74363816,66.553642,14.317343,3.0996311,6.0516605,.040070951,7.0243187,0
21283,Institute For Business & Technology,South,TX,Texas,31301,San Antonio,48029,Bexar,78238,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,1653.3574,2616.8914,0,0,0,,,,,,,,,19927.264,,35500,,1060927.1,560220,.19779547,.11834048,.21977699,0,-6.3709745,-.37504151,46.491226,0,0,49.491562,-2.1686025,0
22949,Institute Of Audio Research,Northeast,NY,New York,19400,New York,36061,New York,10003,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,4272.9492,2192.9971,0,0,0,,,,,,,,,18490,,29600,,1398101,1694787,.053215079,.25277162,.20177384,.024390243,-.71592867,.94535232,0,0,0,95.269905,.66891104,0
41302,Institute Of Production And Recording ,Midwest,MN,Minnesota,21501,Minneapolis,27053,Hennepin,55401,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,,5456.3506,0,0,0,16560,,.19625503,,3807.1523,,,,21260,,,,1903327,,,,,,,,,,,,,
30675,Institute Of Technology,West,CA,California,37200,Fresno,6019,Fresno,93612,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,4218.6206,4416.3911,0,0,0,,,1.2424701,,3639.9707,,,,24471,,26600,,14583910,1836998,.054835495,.085742772,.35094717,0,1.3586943,40.18541,0,0,0,49.461174,-.54715115,10.526316
22843,Interactive College Of Technology,South,GA,Georgia,9100,Atlanta,13089,DeKalb,30341,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,9912.291,14409.668,0,0,0,8826.7217,9560,-1.8335286,.70338982,3020.3899,25084.111,,,11323.399,,22700,,3164699.8,623524.31,.11836735,.42244899,.069387756,.0081632659,1.0986286,10.793618,0,0,0,58.325893,2.0274487,33.333336
25594,Intercoast Colleges,Northeast,ME,Maine,20100,Portland,23005,Cumberland,4106,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,6825.2129,7006.9995,0,0,0,,,,,4403.9507,,,,22187.482,,23300,,3434154,3360145,.095406361,.10954063,.43462896,0,-3.5943115,49.689281,21.862349,0,29.959515,.29620942,.2763333,0
21603,"International Academy Of Design And Technology of Chicago, IL",Midwest,IL,Illinois,24300,Chicago,17031,Cook,60602,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Missing,1702.1885,5167.5522,0,0,0,13952.048,14400,-1.9889414,.30256271,4858.2612,31682.205,,,14596.771,,25200,,2800883.3,3548878.8,.040147915,.12982039,.18502377,0,70.300941,6.0774326,0,0,0,23.534594,-.0026932468,0
30314,"International Academy Of Design And Technology of Orlando, FL",South,FL,Florida,7400,Orlando,12095,Orange,32819,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,1679.7722,3879.6582,0,0,0,13909.476,10410,1.3302525,.69565219,4410.8589,34921.891,,,16158.659,,27800,,3219351,2753125,.03018868,.11396226,.14867924,.012075472,91.807289,6.4363117,0,0,0,5.9300871,-.39735228,0
22229,International Air & Hospitality Academy,West,WA,Washington,38801,Portland,53011,Clark,98661,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,1320.0448,6115.5566,0,0,0,,,,,,,,,15371,,26200,,2446545,1029804,.296,.028000001,.016000001,0,4.405664,-1.6845695,0,0,0,-.14844042,2.6045685,100
9082,"International Business College of El Paso, TX",South,TX,Texas,30601,El Paso,48141,El Paso,79907,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,,,0,0,0,,,-.18562524,,2172.9065,,,,12884.772,,19400,,957548,961479,0,.016597511,.93568462,.0041493773,1.5976591,100.7923,0,0,0,.25828198,-.21284987,0
4579,"International Business College of Fort Wayne, IN",Midwest,IN,Indiana,14200,Indianapolis,18097,Marion,46256,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,1156.172,3094.7529,0,0,0,13880,8814.9561,-3.9183285,.84750092,4505.0293,31977.943,,,13811.8,-1.4231135,27200,,1359665.8,662364.81,.0065502184,.093886465,.026200874,.0032751092,14.774237,50.322838,14.486921,0,6.2374244,9.991497,-4.3089819,0
33953,International Career Development Center,West,CA,California,38300,Los Angeles,6037,Los Angeles,90255,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,,2048.2493,0,0,0,,,-3.1928644,,4183.7573,,,,23731,,20800,,8600425,539415,.040540539,.25675675,.34054053,.0027027028,34.962589,45.635426,.86956519,0,0,26.757929,-.098172896,0
2737,Iona College,Northeast,NY,New York,19400,New York,36119,Westchester,10801,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,4912.437,6859.7402,0,0,0,34030,15870,1.8752332,.52114803,9086.7451,58414.102,1016.7583,1000,19858,-.32531637,52700,,29540000,20589030,.016072473,.098188192,.11426067,.010520164,4.7963581,20.10598,9.3610697,1.4858841,11.144131,4.3683887,32.647301,0
1865,Iowa Central Community College,Midwest,IA,Iowa,27402,Fort Dodge,19187,Webster,50501,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3411.936,3410.5044,0,0,0,4710,2077,1.355284,.3614035,6595.1255,42307.684,,,5584,,32700,116.34406,21402524,13310605,.0053563113,.010246856,.010945505,.013274336,-.7095747,6.344995,27.124773,46.65461,5.244123,1.3344899,.70661414,14.104882
1864,Iowa Lakes Community College,Midwest,IA,Iowa,27302,Fairmont,19063,Emmet,51334,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,4035.9585,4594.1431,0,0,0,5516,2416,1.4561561,.49622643,5239.7979,36486.664,,,8196,,29700,642.21381,11934263,11967790,.005103901,.0047393367,.009114109,.0010936931,2.913903,17.135674,22.829132,28.291317,4.6218491,7.6774263,2.6157873,17.507004
1869,Iowa State University Of Science & Technology,Midwest,IA,Iowa,27501,Des Moines,19169,Story,50011,Selective public,Selective public,Public,Four-year,Public,Selective,5972.4463,8010.0776,0,0,0,7731,3132,1.4621061,.65268129,10034.993,70946.984,1149.1537,1205,8653,.66454917,47200,3104.1418,236421312,157866096,.024946801,.0247657,.016435007,.047539275,8.4311972,21.472746,.12379302,5.4964099,.19806883,42.162491,19.382458,0
4598,Iowa Western Community College,Midwest,IA,Iowa,28202,Omaha,19155,Pottawattamie,51503,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3603.4182,2914.0698,0,0,0,4560,2340,-.49796781,.31101191,5086.4067,36441.707,,,8645,,34100,349.34869,19655088,15092614,.0057739285,.014656896,.012214079,.018876305,-1.1201849,14.943681,27.5,35.694443,.1388889,5.8081555,2.7279158,13.611112
25395,Irvine Valley College,West,CA,California,38300,Los Angeles,6059,Orange,92618,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,,2255.5679,0,0,0,1326,286,,,8914.8379,,,,10401,,35200,,,,.27297994,.027496526,.11038317,.050029781,1.8320031,16.072872,.20703934,69.772255,1.8633541,8.5824747,.092407167,1.242236
2934,Isothermal Community College,South,NC,North Carolina,800,Gastonia,37161,Rutherford,28160,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3432.4631,3820.2639,0,0,0,2358,908,-2.4798951,.21982759,5677.7417,37818.449,,,5990,,24200,,10117286,6820882,.0042941491,.11433172,.0064412239,.003220612,1.181576,26.218853,12.643678,16.858238,2.6819923,9.005435,-1.2123079,26.436781
2409,Itawamba Community College,South,MS,Mississippi,5000,Tupelo,28057,Itawamba,38843,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3721.5662,5288.5435,0,0,0,2420,1000,-1.253131,.15366796,6293.1807,43572.746,,,5457,,27200,,32186282,13436198,.0011537352,.23449668,.0051918086,0,1.6079475,14.432239,31.29771,23.664122,0,10.335944,.51341903,20.229008
2739,Ithaca College,Northeast,NY,New York,18100,Elmira,36109,Tompkins,14850,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,8049.3291,11053.084,0,0,0,39532,19192,.57294017,.72440392,8427.1914,54325.418,,1170,20937,-.0028405546,50400,,73029720,42184200,.024720622,.024889942,.028614968,.022180833,22.382587,4.8604474,10.962145,11.829653,0,3.0804758,44.964249,0
97,Ivy Tech Community College Of Indiana System,Midwest,IN,Indiana,14200,Indianapolis,18097,Marion,46208,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2198.6062,2239.3948,1,0,0,4055,1986,1.010854,,4960.6563,,,,7958,,28400,,,,.010225252,.2202134,.011262597,.0051867221,.58609223,18.408129,36.6782,1.2110727,5.5363321,10.208155,-.42727467,28.373703
3759,J Sargeant Reynolds Community College,South,VA,Virginia,2400,Richmond,51087,Henrico,23228,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,1595.2113,2528.9915,0,0,0,4428,1245,.34427249,.093155891,6623.0684,48015.223,,,6137,,30800,,30897144,17236028,.030224953,.30264592,.011891785,.017143989,-8.3188028,22.777634,47.192226,6.2634988,6.1555076,8.408082,10.878763,1.187905
5260,J. F.  Drake State Community And Technical College,South,AL,Alabama,6000,Huntsville,1089,Madison,35811,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3460.491,3508.6917,0,1,0,3384,1560,1.0106283,.27272728,6946.7778,43937.391,,,7136,,23500,,4634191,1875162,.012891345,.46961325,.0073664826,.022099448,-1.7086586,10.020899,12.91866,0,0,14.190609,1.1536195,64.11483
2274,Jackson College,Midwest,MI,Michigan,11500,Jackson,26075,Jackson,49201,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2217.2725,3633.8655,0,0,0,4704,,2.4336555,.066532262,7172.5938,51512.332,,,5356,,29100,240.53049,21949560,11997693,.0057210494,.040047348,.018938648,.00019727756,3.7765763,15.10822,20.198019,48.712872,2.9702971,10.81038,.19291802,3.7623761
4937,Jackson State Community College,South,TN,Tennessee,4901,Jackson,47113,Madison,38301,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2188.1765,3063.9387,0,0,0,3804,1440,-.47568965,.14449918,7053.0503,38275.477,,,8504,,27200,,14230692,8783331,.0053676865,.17820719,.0091250669,.00026838432,2.699414,19.634314,31.4578,42.966751,0,7.0256038,-.055433661,0
2410,Jackson State University,South,MS,Mississippi,3003,Jackson,28049,Hinds,39217,Selective public,Selective public,Public,Four-year,Public,Selective,4685.751,6189.8218,0,1,0,6602,2808,-6.9731851,.35099337,6762.5283,46790.066,924.82135,,12846,2.242666,29500,354.4895,49774352,33409816,.0018278194,.97861451,.00091390969,.0071284957,6.6380911,19.752163,1.3677812,0,15.805471,24.948751,29.500721,0
1020,Jacksonville State University,South,AL,Alabama,9600,LaGrange,1015,Calhoun,36265,Selective public,Selective public,Public,Four-year,Public,Selective,2959.8779,5033.8965,0,0,0,8790,2640,4.7553844,.36842105,6857.2329,48633.309,978.74963,,14021,3.8517814,35100,947.11011,44134096,25650504,.00862733,.18933909,.0077029732,.023725158,7.8231597,19.934551,7.0934258,2.4221454,15.224914,20.33547,39.786057,0
